property_id,bedrooms,date1,price1,date2,price2
123039336,1,2014-06-11,148000.0,2014-12-08,244900.0
302000375,3,2014-08-14,169100.0,2015-05-06,250000.0
486000085,4,2014-08-15,866800.0,,
526059224,4,2014-09-23,260000.0,2015-02-06,470000.0
629800660,4,2014-09-09,1675000.0,,
643300040,4,2014-11-04,481000.0,2015-03-13,719521.0
722039087,2,2014-09-23,220500.0,2015-05-04,329000.0
726049190,3,2014-10-02,287500.0,2015-02-18,431000.0
937000330,3,2014-12-24,157000.0,2015-03-19,246500.0
1026069095,3,2014-06-24,839000.0,,
1036400200,4,2015-02-13,661000.0,2015-04-29,697000.0
1231000510,3,2014-09-22,263000.0,2015-05-04,510000.0
1254200015,3,2014-12-16,405000.0,2015-04-08,625000.0
1432400120,3,2014-11-11,165000.0,2015-05-08,255000.0
1446403850,2,2014-09-16,118125.0,2015-01-14,212000.0
1450100390,3,2014-09-05,125000.0,2015-03-16,208000.0
1473120390,4,2014-12-24,439000.0,,
1523049207,4,2014-08-05,161000.0,2015-01-14,220000.0
1568100300,6,2014-09-17,350000.0,2015-01-21,682500.0
1723059050,2,2014-06-11,290300.0,,
1788800630,3,2014-10-29,96500.0,2015-02-25,185000.0
1972202010,3,2014-08-01,435000.0,,
1974300020,4,2014-08-27,380000.0,2015-02-18,624900.0
1995200200,3,2014-05-06,313950.0,2014-10-08,415000.0
2019200220,3,2014-09-23,160000.0,2015-02-26,269000.0
2023049218,2,2014-07-16,105500.0,2015-03-16,445000.0
2143700830,4,2014-10-06,207000.0,2015-03-12,370000.0
2231500030,4,2014-10-01,315000.0,2015-03-24,530000.0
2310010270,3,2015-02-18,280500.0,,
2473380920,5,2014-08-13,206325.0,2015-02-27,339000.0
2561340020,3,2014-08-04,325000.0,2015-02-17,500000.0
2570500090,5,2014-10-07,385000.0,,
2767602141,3,2014-09-05,525000.0,2014-12-22,650000.0
2767603612,2,2014-05-12,500000.0,2015-01-13,489000.0
2806300070,5,2014-05-21,975000.0,,
2851200100,4,2014-07-01,955500.0,,
2892700041,3,2014-07-14,168000.0,2015-01-28,238000.0
2926049376,2,2015-04-20,220000.0,,
3271300955,4,2014-07-03,554729.0,2015-02-24,868000.0
3323059027,3,2014-05-28,326000.0,2015-02-25,340000.0
3332000615,3,2014-10-20,310000.0,2015-04-22,389000.0
3432501415,3,2014-07-14,265000.0,2014-11-11,399000.0
3523069060,3,2014-11-07,290000.0,2015-04-01,415000.0
3528000040,3,2014-10-01,1690000.0,2015-03-26,1800000.0
3558900590,6,2014-11-25,360000.0,2015-03-24,692500.0
3578401060,3,2014-12-16,345000.0,2015-05-04,625000.0
3630120700,3,2014-05-13,757000.0,2015-01-07,765000.0
3739500096,3,2015-01-26,229000.0,2015-05-05,430000.0
3760500222,3,2014-06-03,830000.0,,
3864000120,4,2015-04-08,1175000.0,,
3883800011,3,2014-11-05,82000.0,2015-04-08,219900.0
3904921070,4,2014-08-12,590000.0,,
3935900232,3,2014-09-29,207000.0,2015-01-12,237000.0
4006000251,3,2014-08-22,226000.0,,
4031000520,1,2014-07-08,115000.0,2014-11-25,227000.0
4037000635,4,2015-03-27,485000.0,,
4139480200,4,2014-06-18,1384000.0,2014-12-09,1400000.0
4154300296,3,2014-09-26,235000.0,2015-03-18,545000.0
4202400078,2,2015-01-28,175000.0,2015-04-28,335000.0
4222310010,4,2014-12-26,152500.0,2015-04-20,267950.0
4364700600,3,2014-12-16,216000.0,2015-03-30,390000.0
4435000705,3,2014-07-08,160000.0,2015-03-09,255500.0
5083000375,3,2014-10-27,170000.0,2015-03-19,235000.0
5101405604,1,2014-08-14,350000.0,2015-04-28,395000.0
5282200015,5,2014-05-27,525000.0,2015-01-26,840000.0
5332200530,5,2014-06-13,910000.0,2015-04-24,1015000.0
5536100020,3,2014-12-15,987000.0,2015-05-12,1190000.0
6021501535,3,2014-07-25,430000.0,2014-12-23,700000.0
6117501820,2,2014-06-18,250275.0,2015-04-28,435000.0
6141100320,2,2014-07-07,245000.0,2015-02-13,570000.0
6143000020,3,2014-10-27,175000.0,2015-04-06,299000.0
6308000010,3,2014-12-08,585000.0,2015-04-23,585000.0
6381500170,2,2014-08-26,235000.0,2015-01-16,365000.0
6623400187,4,2014-09-23,185000.0,2015-02-20,365000.0
6632900574,5,2014-08-06,367500.0,2015-02-25,595000.0
6710100131,3,2015-04-10,981000.0,,
6791200120,3,2014-09-23,480000.0,2015-04-07,515000.0
7227800055,4,2014-09-09,199500.0,2014-11-24,247000.0
7228500425,3,2014-07-28,590000.0,,
7230400400,3,2014-09-26,240000.0,2015-03-26,415500.0
7387500235,3,2014-05-15,340000.0,2015-03-17,363000.0
7856400300,2,2014-07-02,1411600.0,2015-03-22,1505000.0
7888000390,3,2014-06-27,140000.0,2015-04-01,235000.0
7961500010,3,2014-08-06,245000.0,2015-03-04,520000.0
7972000010,3,2014-05-20,120750.0,2014-10-21,195000.0
7983000200,3,2014-10-05,169575.0,2015-02-25,250000.0
8103000110,2,2014-06-03,280000.0,2015-02-05,490000.0
8121100395,4,2014-06-24,425000.0,2015-03-11,645000.0
8129700644,3,2014-07-03,715000.0,2015-04-24,780000.0
8161020060,4,2014-06-20,443500.0,2015-04-14,471000.0
8564860270,4,2014-07-08,449990.0,2015-03-30,502000.0
8645530010,3,2014-05-15,225000.0,2015-03-25,295000.0
8651402750,3,2015-02-18,132825.0,2015-04-30,219950.0
8732040810,4,2014-11-04,235000.0,,
9222400605,5,2014-11-15,842500.0,2015-04-11,850000.0
9238500040,3,2014-06-24,400000.0,2015-02-10,599000.0
9809000020,5,2014-05-13,1895000.0,2015-03-13,1940000.0
9818700430,3,2014-10-01,421500.0,,
9828200460,2,2014-06-27,260000.0,2015-01-06,430000.0
9834200885,4,2014-07-17,360000.0,2015-04-20,550000.0
